,Band,Song,Player,Technique,Difficulty,Score
2154,Muse,Drum & Bass Jam,Chris,['Distortion Guitar'],Intermediate,4/8
2155,Theme Songs,Skyrim Theme,,"['Distortion Guitar', 'bass']",Beginner,1/8
2156,Neen :D,(Beast And The Harlot),,"['Acoustic Guitar (nylon)', 'Bass']",Beginner,2/8
2157,Exodus,Funeral Hymn,,"['Distortion Guitar', 'Bass']",Intermediate,3/8
2158,Tool,Intension,B. Harmonics,['Electric Guitar (clean)'],Intermediate,3/8
2159,Understanding For Nesny,Black Mind,Pista 6,['Electric Guitar (jazz)'],Intermediate,4/8
2160,The Scarecrows,The Black Song,Jon Perfec,['Distortion Guitar'],Intermediate,3/8
2161,Darkthrone,The Winds They Called The Dungeon Shaker,FX,['Distortion Guitar'],Beginner,1/8
2162,Wolvespirit,Blowin´Up,Spur 1,['Acoustic Guitar (steel)'],Intermediate,3/8
2163,123asd,Pl,,"['Distortion Guitar', 'Distorted Bass']",Intermediate,3/8
2164,123asd,Sun,,"['Distortion Guitar', 'Distorted Bass']",Intermediate,4/8
2165,Muse,Sunburn (Album),,"['Distortion Guitar', 'Distorted Bass']",Intermediate,4/8
2166,Muse,Stockholm Syndrome (Album),,"['Distortion Guitar', 'Distorted Bass']",Beginner,1/8
2167,123asd,Ps,,"['Distortion Guitar', 'Distorted Bass Effect']",Intermediate,3/8
2168,Muse,Psycho (Album),,"['Distortion Guitar', 'Distorted Bass Effect']",Beginner,2/8
2169,123asd,Def,,"['Distortion Guitar', 'Distorted Bass Effect']",Intermediate,3/8
2170,Muse,Jfk + Defector (Album),,"['Distortion Guitar', 'Distorted Bass Effect']",Beginner,1/8
2171,123asd,Mc,,"['Distortion Guitar', 'Distorted Bass']",Intermediate,3/8
2172,123asd,St,,"['Distortion Guitar', 'Distorted Bass Effect']",Intermediate,3/8
2173,Muse,Micro Cuts (Album),,"['Distortion Guitar', 'Distorted Bass']",Beginner,2/8
2174,123asd,Wo,,"['Distortion Guitar', 'Electric Bass']",Intermediate,3/8
2175,Custom Songs,Hero Comes Home,levi,['Acoustic Guitar (steel)'],Intermediate,3/8
2176,Switchfoot,Head Over Heels In This Life,,"['Distortion Guitar', 'Bass']",Intermediate,3/8
2177,InMe,Seven Weeks,,['Distortion Guitar 2'],Intermediate,3/8
2178,Daniel Munoz,Tantan,Pista 2,['Overdriven Guitar'],Intermediate,3/8
2179,Silver City,Bass Melody,,"['Overdriven Guitar', 'Bass']",Intermediate,3/8
2180,Kane,As Long As You Want This,,['Overdriven Guitar'],Intermediate,3/8
2181,Cinderella,Dead Mans Road,,"['Acoustic Guitar (steel)', 'Bass']",Beginner,1/8
2182,I Mother Earth,Soft Bomb Salad,,['Distortion Guitar'],Intermediate,3/8
2183,Lindemann,To Delete,,"['Overdriven Guitar', 'bass']",Intermediate,3/8
2184,Ignite,Burned Up,w/ Dist,['Overdriven Guitar'],Intermediate,3/8
2185,Stutterfly,Through Me,w/finger,['Distortion Guitar'],Intermediate,3/8
2186,Scary Kids Scaring Kids,World As We Know It,,"['Electric Guitar (clean)', 'Bass']",Intermediate,3/8
2187,Scorpions,Still In Love With You,,"['Acoustic Guitar (nylon)', 'Fretless Bass']",Beginner,1/8
2188,Amen,Under The Robe,,"['Overdriven Guitar', 'Bass']",Intermediate,3/8
2189,Amen,CK Killer,,"['Overdriven Guitar', 'Bass']",Intermediate,3/8
2190,Amen,Piss Virus,,"['Distortion Guitar', 'Bass']",Intermediate,3/8
2191,Death,Sacrificial,Chuck,['Acoustic Guitar (steel)'],Beginner,1/8
2192,Mokoma,Hiljaisuuden Julistaja,,"['Overdriven Guitar', 'Basson sהrצ']",Beginner,2/8
2193,Annihilator,Ritual,,"['Acoustic Guitar (nylon)', 'Bass']",Intermediate,3/8
2194,Funeral For A Friend,Kicking And Screaming,Gavin Burrough,['Distortion Guitar'],Beginner,1/8
2195,Gamma Ray,Dethrone Tyranny,,"['Acoustic Guitar (nylon)', 'Bass']",Intermediate,4/8
2196,The Call,Shayad,,"['Overdriven Guitar', 'Sultan (Bass)']",Beginner,1/8
2197,Tool,H.,,"['Overdriven Guitar', 'Bass']",Beginner,1/8
2198,Apocalyptica,Worlds Collide,,"['Distortion Guitar', 'Bass Cello']",Intermediate,3/8
2199,Grinspoon,Carried Away,,"['Guitar harmonics', 'Whammy Guitar']",Intermediate,3/8
2200,Hatebreed,As Damaged As Me,Track 3,['Overdriven Guitar'],Beginner,2/8
2201,S.O.D.,Sargent D And The Sod,Pista 2,['Overdriven Guitar'],Intermediate,3/8
2202,Ministry,Useless,,"['Overdriven Guitar', '(bass fx overdrive/disto)']",Intermediate,3/8
2203,Mamamama,Asesin,,"['Distortion Guitar', 'Bass Effect']",Intermediate,3/8
2204,Muse,Assassin (Correct Ver.) + Grand Omega Riff,,"['Distortion Guitar', 'Bass Effect']",Intermediate,3/8
2205,Mamamama,La Asesin,,"['Distortion Guitar', 'Bass Effect']",Intermediate,3/8
2206,Muse,Assassin Live (L.A. Version),,"['Distortion Guitar', 'Bass Effect']",Intermediate,3/8
2207,Mamamamama,Yss Pls,,"['Distortion Guitar', 'Bass Dist. Effect']",Intermediate,3/8
2208,123asd,Ts,,"['Distortion Guitar', 'Bass Dist. Effect']",Intermediate,3/8
2209,Muse,Yes Please,,"['Distortion Guitar', 'Bass Dist. Effect']",Intermediate,3/8
2210,Muse,The Small Print,,"['Distortion Guitar', 'Bass Dist. Effect']",Beginner,1/8
2211,Gilang,Fiction,,"['Distortion Guitar', 'Piano LH']",Intermediate,4/8
2212,Dieicuno,Detrás de mí (intro),Track 3,['Acoustic Guitar (steel)'],Intermediate,3/8
2213,Hundred Reasons,Silver,,"['Acoustic Guitar (nylon)', 'Bass Guitar']",Intermediate,3/8
2214,Royal Blood,"Hook, Line & Sinker",Mike,"['Bass Distortion', 'Distortion Guitar']",Intermediate,3/8
2215,MSB Competition November 2004,I Want Justice,,"['Overdriven Guitar', 'Bass Overdrive']",Intermediate,3/8
2216,123asd,P,,"['Distortion Guitar', 'Distorted Bass']",Intermediate,3/8
2217,Black Rebel Motorcycle Club,Shade Of Blue,,"['Electric Guitar (jazz)', 'bass ']",Beginner,1/8
2218,Black Rebel Motorcycle Club,Heart & Soul,,"['Electric Guitar (jazz)', 'bass ']",Intermediate,3/8
2219,Glassjaw,Twos Of Mescaline,,"['Distortion Guitar', 'bass distort']",Beginner,1/8
2220,Coldplay,Charlie Brown,Effects 2,['Distortion Guitar'],Intermediate,4/8
2221,The Dear Hunter,The Most Cursed Of Hands / Who Am I,,"['Acoustic Guitar (steel)', 'Bass']",Beginner,1/8
2222,Ministry,Lay Lady Lay,,"['Overdriven Guitar', '(bass disto/overdrive)']",Beginner,1/8
2223,Mmmmmmmemes,Cuadr,,"['Distortion Guitar', 'Distortion Bass Effect']",Intermediate,3/8
2224,Muse,Blockades,,"['Distortion Guitar', 'Distortion Bass Effect']",Beginner,1/8
2225,Gdfdhdsfg5235gd,Hdsfgdfdh644652,,['Distortion Guitar 6'],Intermediate,3/8
2226,Testman,Midi Surf,Track 3,['Acoustic Guitar (steel)'],Intermediate,3/8
2227,Royal Blood,Lights Out,,"['Distortion Guitar', 'Electric Bass']",Beginner,2/8
2228,Yesn't,shred wars (not too correct),,"['Acoustic Guitar (steel)', 'Bass']",Beginner,1/8
2229,Soprano,Welcome To The Family,Kate,"['[Bass]', 'Acoustic Guitar (steel)']",Beginner,2/8
2230,Lokhanov,Four,,"['Overdriven Guitar', 'Epic bass ver. 1']",Advanced,8/8
2231,Save Us From The Archon,Within Walls,Bradley,['Acoustic Guitar (steel)'],Intermediate,3/8
2232,Save Us From The Archon,Thread Between,Bradley,['Acoustic Guitar (steel)'],Intermediate,3/8
2233,Save Us From The Archon,Trancing Nostalgia,Bradley,['Acoustic Guitar (steel)'],Beginner,2/8
2234,Save Us From The Archon,Until We Unfold,Bradley,['Acoustic Guitar (steel)'],Intermediate,3/8
2235,Save Us From The Archon,Of Forgiveness,Bradley,['Acoustic Guitar (steel)'],Intermediate,3/8
2236,Save Us From The Archon,To Find Clarity,Bradley,['Acoustic Guitar (steel)'],Intermediate,3/8
2237,Fikko,160819,fx bajo,['Distortion Guitar'],Intermediate,5/8
2238,Bdubjowizzle,jberg04,Track 1,['Acoustic Guitar (steel)'],Intermediate,3/8
2239,Tool,Jambi,,"['Justin Chancellor', 'Distortion Guitar', 'Bass Distortion']",Beginner,2/8
2240,Muse,Reapers,Chris Wolstenholme,['Distortion Guitar'],Intermediate,4/8
2241,9kt,bre 2,Pista 12,['Acoustic Guitar (steel)'],Intermediate,3/8
2242,Rendevous,Shape of You (Original),Nima,['Distortion Guitar'],Beginner,1/8
2243,Fart,Cancion En Drop,,"['Distortion Guitar', '((Bass Effect))']",Intermediate,3/8
2244,Royal Blood,You Can Be So Cruel,,"['Distortion Guitar', 'Bass Distortion']",Beginner,2/8
2245,Boris De Spinnemeule,tlsbr,,"['Acoustic Guitar (steel)', 'Bass                ']",Intermediate,3/8
2246,Rendevous,Schism Cover,,"['Distortion Guitar', 'Overdriven Bass']",Intermediate,5/8
2247,Muse,Assassin,Chris effects,['Distortion Guitar'],Intermediate,3/8
2248,Melvins,Night Goat,,"['Overdriven Guitar', 'Bass Distortion']",Beginner,1/8
2249,Concepts,Groove,,"['Overdriven Guitar', 'Bass']",Intermediate,3/8
2250,Muse,Plug In Baby (Drums),,"['Distortion Guitar', 'Chris Wolstenholme (Guitar)']",Beginner,2/8
2251,Muse,New Born ver7,,"['Overdriven Guitar', 'Bass Distortion']",Beginner,2/8
2252,Luisxvilp811,L. 032,Pista 4,['Acoustic Guitar (steel)'],Intermediate,3/8
2253,Dum Dum Girls,Evil Blooms,,"['Overdriven Guitar', 'Bass (Dee Dee)']",Intermediate,3/8
2254,Avenged Sevenfold,God Hates Us,Johnny Christ,['Acoustic Guitar (steel)'],Beginner,2/8
2255,Muse,Hyper Music,,"['Distortion Guitar', 'Bass Distortion Effect']",Intermediate,4/8
2256,Avenged Sevenfold,Roman Sky ver.2,,"['Acoustic Guitar (steel)', 'Bass']",Intermediate,3/8
2257,Devándal,culos666,Flos Fuzz,['Distortion Guitar'],Intermediate,3/8
2258,Slaver,Be nothing,,"['Distortion Guitar', 'Bass Dist (Drop D)']",Intermediate,4/8
2259,Yoshiya Terayama,Voltaic Black Knight (Cavaliere Angelo),,"['Distortion Guitar', 'Bass']",Intermediate,3/8
2260,Tool,Invincible,Justin,"['distortion', 'Distortion Guitar']",Intermediate,3/8
2261,Cum Laudes,Bass Album Opener,,"['Distortion Guitar', 'Distortion Bass']",Intermediate,3/8
2262,Muse,Stockholm Syndrome (Horsemeat Remake),,"['Distortion Guitar', 'Dist Bass']",Intermediate,3/8
2263,Pesho,za koncerta 1,NorkaMotorka,['Acoustic Guitar (steel)'],Intermediate,3/8
2264,Muse,The Small Print (Horsemeat Remake),,"['Distortion Guitar', 'Bass Guitar']",Intermediate,3/8
2265,Slaver,Buy night,,"['Distortion Guitar', 'Dist Bass']",Intermediate,3/8
2266,Jilstrom,test,Tim Commerford,"['Bass', 'Distortion Guitar']",Intermediate,3/8
2267,Lemon Demon,Word Disassociation,,"['Distortion Guitar', 'Distorted Bass']",Beginner,1/8
2268,Megadeth,A Tout Le Monde,Marty Friedman,['Distortion Guitar'],Intermediate,3/8
2269,Guns N' Roses,Sweet Child O' Mine,Slash,"['Clean', 'Electric Guitar (jazz)']",Beginner,2/8
2270,Alice in Chains,Would?,Jerry Cantrell (Gui.2),['Distortion Guitar'],Intermediate,3/8
2271,Van Halen,Ain't Talkin' 'Bout Love,Eddie Van Halen ,['Distortion Guitar'],Beginner,2/8
2272,Dream Theater,Stream of Consciousness,,"['Distortion Guitar', 'Main Guitar']",Intermediate,4/8
2273,Michael Jackson,Beat It,Steve Lukather,['Distortion Guitar'],Beginner,2/8
2274,Stratovarius,Visions (Southern Cross),Tolkki Lead,['Overdriven Guitar'],Intermediate,4/8
2275,Yngwie Malmsteen,Vengeance,,"['Distortion Guitar', 'Solo Guitar']",Advanced,7/8
2276,Guns N' Roses,Rocket Queen,,"['Distortion Guitar', 'Guitar 1 (Slash)']",Intermediate,4/8
2277,HammerFall,Riders Of The Storm,,"['Distortion Guitar', 'Guitar 2']",Beginner,2/8
2278,Misfits,Dig Up Her Bones,Doyle Wolfgang von Frankenstein,['Distortion Guitar'],Intermediate,4/8
2279,Dokken,Alone Again,,"['Distortion Guitar', 'Lead Guitar']",Intermediate,3/8
2280,Stratovarius,Eternity,Tolkki,['Distortion Guitar'],Intermediate,3/8
2281,Metallica,Bleeding Me,James Hetfield Clean,['Electric Guitar (clean)'],Beginner,2/8
2282,Slayer,Spill The Blood,Jeff Hanneman,['Distortion Guitar'],Beginner,2/8
2283,Megadeth,The Killing Road,Dave Mustaine,['Distortion Guitar'],Beginner,2/8
2284,Saxon,747 Strangers In The Night,,"['Paul Quinn', 'Distortion Guitar', 'Guitar 1']",Beginner,2/8
2285,Stratovarius,Soul Of A Vagabond,,"['Distortion Guitar', 'Guitar Overdubb']",Beginner,1/8
2286,Megadeth,Addicted To Chaos,,"['Distortion Guitar', 'Guitar 3 (Fills and Solo)']",Intermediate,4/8
2287,Saxon,I've Got To Rock To Stay Alive,,"['Distortion Guitar', 'Paul Quinn (Guitar)']",Beginner,2/8
2288,Saxon,Battering Ram,Doug Scarratt,['Distortion Guitar'],Intermediate,3/8
2289,KISS,God Gave Rock And Roll To You,,"['Overdriven Guitar', 'Lead Guitar']",Intermediate,3/8
2290,Guns N' Roses,This I Love,Robin Finck,"['Lead Guitar', 'Overdriven Guitar']",Intermediate,3/8
2291,Van Halen,Runaround,,"['Distortion Guitar', 'Guitar 1']",Intermediate,3/8
2292,Sungha Jung,Reminiscence,Æ®·¢ 1,['Acoustic Guitar (steel)'],Intermediate,4/8
2293,Steve Hansen,DADDY! DADDY! DO! - Kaguya-sama Love is War S2 OP,,"['Acoustic Guitar (steel)', 'Steel Guitar']",Intermediate,3/8
2294,Ancient Enemy,Heist of the Scarab Amulet (Revised),,"['Distortion Guitar', 'Dave Guitar']",Intermediate,3/8
2295,Nirvana,If You Must,,"['Overdriven Guitar', 'Guitar (Kurt Kobain)']",Beginner,2/8
2296,Tyoma,Black Cat,,['Distortion Guitar'],Beginner,2/8
2297,Impellitteri,Fly Away,Solo,['Overdriven Guitar'],Advanced,8/8
2298,Unnamed,Song 2,,"['Doug', 'Overdriven Guitar']",Beginner,2/8
2299,Buckethead,Dancing in the Snow (Acoustic),Track 1,['Acoustic Guitar (steel)'],Intermediate,3/8
2300,Quixöte,Spectra (Nombre Clave),Pista 1,['Distortion Guitar'],Beginner,2/8
2301,Quixöte,El Caballero Del Infierno Acústico,Pista 2,['Acoustic Guitar (steel)'],Intermediate,3/8
2302,Lithium,Cold Pizza,Tom,['Distortion Guitar'],Beginner,2/8
2303,Lithium,Creation,Tom,"['Distortion', 'Distortion Guitar']",Beginner,2/8
2304,Metallica,Justice / Spangled Intro,Kirk Hammett,['Electric Guitar (jazz)'],Beginner,2/8
2305,First Of October,Do You Want To?,Rob Scallon,"['Guitar', 'Overdriven Guitar']",Beginner,2/8
2306,Slaver (Test),Acoustic Metal,Clean 1,['Electric Guitar (clean)'],Intermediate,3/8
2307,Kirisute,Kiri #1,,"['Acoustic Guitar (nylon)', 'Nylon Guitar']",Beginner,2/8
2308,Alice in Chains,Don't Follow,Track 1,['Acoustic Guitar (steel)'],Beginner,2/8
2309,Waterparks,Blonde,Geoff,"['Lead Guitar', 'Distortion Guitar']",Beginner,2/8
2310,Pierce The Veil,Caraphernelia,Vic Fuentes,"['Rhythm', 'Acoustic Guitar (steel)']",Beginner,1/8
2311,Lithium,Welt Marks,Tom,['Distortion Guitar'],Intermediate,4/8
2312,Lithium,Jack Off,Tom,['Distortion Guitar'],Beginner,2/8
2313,Lithium,Shafted,Tom,['Distortion Guitar'],Intermediate,3/8
2314,Lithium,My Glass Is Half Empty,```Tom,['Distortion Guitar'],Beginner,2/8
2315,Galneryus,Raise My Sword Solo,Track 1,['Distortion Guitar'],Advanced,8/8
2316,Candlemass,Black Stone Wielder,,"['Distortion Guitar', 'Rhythm Guitar']",Intermediate,3/8
2317,Tank,Walking Barefoot Over Glass,,"['Distortion Guitar', 'Guitar 1']",Intermediate,3/8
2318,Nirvana,Beeswax,Kurt Cobain,['Distortion Guitar'],Beginner,2/8
2319,Manilla Road,Necropolis,,"['Overdriven Guitar', 'Additional Guitar']",Beginner,2/8
2320,Lithium,Oily Hair,`Tom,['Distortion Guitar'],Intermediate,4/8
2321,Cattle Decapitation,Kingdom Of Tyrants,Josh Elmore (Rhythm),['Distortion Guitar'],Intermediate,4/8
2322,Tyoma,The King Of Judea,,['Distortion Guitar 3'],Intermediate,5/8
2323,Dark Funeral,The Arrival of Satan's Empire,Track 1,['Distortion Guitar'],Intermediate,4/8
2324,Extreme,Play With Me - Solo,Nuno Bettencourt,"['Guitar Solo', 'Distortion Guitar']",Advanced,8/8
2325,Fido Jack Harper,ska,,['Distortion Guitar 1'],Beginner,2/8
2326,Fido Jack Harper,ska,Overdriven Guitar 3,[],Beginner,2/8
2327,Fido Jack Harper,indie,,['Overdriven Guitar 1'],Intermediate,3/8
2328,And End...,Funeral Waltz,Track 1,['Distortion Guitar 2'],Beginner,2/8
2329,Ethan Kral,Silience,,"['Electric Guitar (clean)', 'Guitar 2']",Intermediate,3/8
2330,Unnamed,Song 1,,"['Charlie', 'Electric Guitar (clean)', 'Lead Guitar']",Beginner,2/8
2331,Serj Tankian,Bari Aragil,Track 4,['Overdriven Guitar'],Beginner,2/8
2332,Face Of Death,Riot Uncontrol,,"['Distortion Guitar', 'Lead Guitar']",Intermediate,3/8
2333,Its Always You,Falling Off our Seats,,"['Overdriven Guitar', 'Lead Guitar']",Beginner,2/8
2334,Dark Funeral,Unchain My Soul,,"['Distortion Guitar 1', 'Rhythm Guitar']",Beginner,2/8
2335,Rom,Pathways,,"['Distortion Guitar', 'Lead Guitar Left']",Intermediate,4/8
2336,Liam Arellano (Quixöte),Frozen,Pista 3,['Distortion Guitar'],Intermediate,3/8
2337,Jimi Hendrix,All along the watchtower easy bass,,"['Acoustic Guitar (steel)', 'Guitar II']",Beginner,2/8
2338,Fsdkfdhugf,phjsiodfhufiosd,,"['Distortion Guitar', 'E.Guitar I (Right)']",Beginner,2/8
2339,Scorpions,Pictured Life,Uli Jon Roth Overdubs,['Distortion Guitar'],Intermediate,5/8
2340,Black Sabbath,Sins Of The Father,Track 1,['Distortion Guitar'],Beginner,2/8
2341,Tk From Ling Tosite Sigure,katharsis,rythm,['Overdriven Guitar'],Beginner,2/8
2342,Lithium,Hourglass Figure,Tom,['Distortion Guitar'],Beginner,2/8
2343,Sex Pistols,The Great Rock and Roll Swindle,,"['Distortion Guitar', 'Rhythmn Guitar']",Beginner,2/8
2344,Dskjsfd,dsjiohsfdugh8sd,,"['Electric Guitar (clean)', 'Clean Guitar']",Beginner,2/8
2345,Hoodini,until it pres,James (Dist),['Distortion Guitar'],Intermediate,3/8
2346,Lithium,Scum,Tom,['Distortion Guitar'],Beginner,2/8
2347,Lithium,Sheep,Tom,['Distortion Guitar'],Beginner,2/8
2348,Kirisute,Total Annihilation,Artiom,['Distortion Guitar'],Intermediate,3/8
2349,Rage,In A Nameless Time,,['Distortion Guitar 2'],Beginner,2/8
2350,Rage,Let Them Rest in Peace,,"['Distortion Guitar 2', 'Electric Guitar']",Intermediate,4/8
2351,Richard Renck,Bass Groove,Pista 4,['Distortion Guitar'],Intermediate,4/8
2352,Staind,It's Been A While,,"['Acoustic Guitar (steel)', 'Aaron Lewis (Acoustic Guitar)']",Beginner,1/8
2353,Massacra,Seas Of Blood,,['Distortion Guitar'],Intermediate,4/8
2354,The Killers,Smile Like You Mean It,Dave Keuning,"['Rhythm Guitar', 'Overdriven Guitar']",Beginner,2/8
2355,Lovejoy,The Fall,Wilbur Soot,"['Rhythm Guitar', 'Overdriven Guitar']",Beginner,2/8
2356,Lithium,Bludgeoned,Tom,['Distortion Guitar'],Beginner,2/8
2357,Lithium,The Way I See It,,"['Acoustic Guitar (steel)', 'Tom W. (Acoustic Guitar)']",Beginner,2/8
2358,Lithium,Make Me Cry,Tom W. (Solo),['Distortion Guitar'],Intermediate,3/8
2359,Lithium,I Think We Should Stop Holding Hands,Tom,"['Guitar', 'Distortion Guitar']",Beginner,2/8
2360,Lithium,Extra Numb,Tom W. (Overdubs),['Overdriven Guitar'],Beginner,2/8
2361,Lithium,Hate You,Tom W. (Clean),['Electric Guitar (clean)'],Beginner,2/8
2362,Lithium,For A Boy,Tom W. (Clean),['Electric Guitar (clean)'],Intermediate,3/8
2363,Lithium,Anti-Optimist,Tom,"['Rhythm', 'Distortion Guitar']",Beginner,2/8
2364,Lithium,Out Of The Blue,Tom W. (Rhythm),['Distortion Guitar'],Beginner,2/8
2365,Lithium,Bring It All Back,Tom W. (Overdubs),['Overdriven Guitar'],Beginner,2/8
2366,Lithium,I'm Very Smart,Tom (Clean),['Electric Guitar (clean)'],Beginner,2/8
2367,Lithium,Slack Off,Tom,['Electric Guitar (clean)'],Beginner,2/8
2368,Lithium,Idiom,Tom,"['Solo', 'Distortion Guitar']",Advanced,6/8
2369,Majör Adamlar (Sufi),Sarı Zülfün,Ýz 2,['Electric Guitar (jazz)'],Intermediate,3/8
2370,Lithium,Fit,Tom,['Distortion Guitar'],Intermediate,4/8
2371,Lithium,Paracetamol,Tom,['Distortion Guitar'],Beginner,2/8
2372,Revocation,A Visitation,Harmony,['Overdriven Guitar'],Intermediate,4/8
2373,Tyoma,king,,['Distortion Guitar 1'],Intermediate,3/8
2374,Slaver,Maiden Scythe,Lead,['Distortion Guitar'],Beginner,2/8
2375,Band-Maid,DICE,Miku,['Distortion Guitar'],Beginner,2/8
2376,Chinaski,Kafe s mlíkem,,"['Electric Guitar (clean)', 'Overdriven Guitar']",Beginner,2/8
2377,Lazer Lloyd,Forget The World (Esqueça o Mundo),Harmony,['Electric Guitar (jazz)'],Beginner,2/8
2378,Revocation,Archfiend,Acoustic,['Electric Guitar (clean)'],Intermediate,3/8
2379,Revocation,Invidious,solo,['Distortion Guitar 1'],Intermediate,5/8
2380,Alice in Chains,Love Hate Love,2nd Jerry,['Distortion Guitar'],Beginner,2/8
2381,Nightmare,Ochiwa,Hitsugi Solo,['Distortion Guitar'],Intermediate,4/8
2382,Deathblower,Kult šílenství,,['Distortion Guitar 2'],Intermediate,5/8
2383,"Ben Mason, Joey Locastro",Song(ben fucking around),,"['Distortion Guitar', 'Guitar Lead']",Beginner,2/8
2384,Red Hot Chili Peppers,Black Summer,John Frusciante Solo,['Distortion Guitar'],Intermediate,3/8
2385,Slaver,Voltage Exposure/Nevrosy,Harm.,['Electric Guitar (clean)'],Intermediate,3/8
2386,Dsfsdfho,sdihhfsdu,,"['Distortion Guitar', 'E.Guitar I (Left)']",Beginner,2/8
2387,Slaver,Picnic River Str.,Clean 2,['Electric Guitar (clean)'],Intermediate,4/8
2388,Guns N' Roses,My Michelle,Slash,['Distortion Guitar'],Intermediate,3/8
2389,Nirvana,Should I Stay or Should I Go (Live 01/16/93),Krist Novoselic,['Electric Guitar (clean)'],Beginner,2/8
2390,Lithium,Nail,Tom,['Distortion Guitar'],Beginner,2/8
2391,Guns N' Roses,"Well, Well, Well My Michellle",Izzy Stradlin,['Overdriven Guitar'],Intermediate,3/8
2392,Tom Donahue,welcome to the jungle,#3,['Distortion Guitar'],Intermediate,3/8
2393,09093847582345,834705823475082374,Track 2,['Distortion Guitar'],Intermediate,3/8
2394,Galneryus,T.F.F.B.,Rhythm 2,['Distortion Guitar'],Intermediate,4/8
2395,Nightmare,Loopain,Hitsugi,['Distortion Guitar'],Beginner,2/8
2396,Zxcv,zxcv,??,['Distortion Guitar'],Beginner,2/8
2397,Bump Of Chicken,BUMP OF CHICKENのテーマ,??,['Distortion Guitar'],Beginner,2/8
2398,Bump Of Chicken,BUMP OF CHICKENにのテーマ,??,['Distortion Guitar'],Beginner,2/8
2399,Bump Of Chicken,BUMP OF CHICKENのテーマ,???,['Overdriven Guitar'],Beginner,2/8
2400,Witchcraft,An Alternative To Freedom,Overdub II (Ritmo/Armonía),['Overdriven Guitar'],Beginner,2/8
2401,Boc,boc,???,['Overdriven Guitar'],Beginner,2/8
2402,Zxcvbn,zxcvbn,???,['Overdriven Guitar'],Beginner,2/8
2403,Zxcvb,zxcvb,???,['Overdriven Guitar'],Beginner,2/8
2404,Fdfd,fdfd,??,['Overdriven Guitar'],Beginner,2/8
2405,Dfdf,dfdf,???,['Overdriven Guitar'],Beginner,2/8
2406,Cv,cv,??,['Overdriven Guitar'],Beginner,2/8
2407,Asdfghj,asdfghj,??,['Overdriven Guitar'],Beginner,2/8
2408,Asdfghj,asdfghj,???,['Overdriven Guitar'],Beginner,2/8
2409,El Canto Del Loco,Contigo,Bajo,['Electric Guitar (jazz)'],Beginner,1/8
2410,Home Town Hero,Bed Of Dreams,,"['Acoustic Guitar (nylon)', 'Bass']",Intermediate,3/8
2411,Rage Against The Machine,Face Off,Track 2,['Acoustic Guitar (nylon)'],Beginner,1/8
2412,Ramzes & The Hooligans,Kiosk,Utwór 4,['Acoustic Guitar (nylon)'],Intermediate,3/8
2413,Patryk Rose,That Damn Love,,"['Electric Guitar (jazz)', 'Acoustic Bass']",Intermediate,3/8
2414,Satanic Legion,Unholy Father Of Pain,,"['Distortion Guitar', 'Bass']",Intermediate,3/8
2415,Top Gear,Top Gear 3000 - Intro,Baixo 1,['Overdriven Guitar'],Intermediate,3/8
2416,Nobuo Uematsu,Another World Of Beasts,,"['Electric Guitar (jazz)', 'Bass']",Beginner,1/8
2417,Underground Vibes,Soul Symphony,Maiko,['Overdriven Guitar'],Intermediate,3/8
2418,Akira Yamaoka,You're Not Here,,"['Distortion Guitar', 'Bass Fill']",Beginner,1/8
2419,Sum 41,Reign In Pain,Cone,"['Bass Effect', 'Distortion Guitar']",Intermediate,3/8
2420,Verdena,Starless,,"['Overdriven Guitar', 'basso distorto']",Intermediate,3/8
2421,Ascelia,Consuming Love,,"['Acoustic Guitar (nylon)', 'Bass']",Intermediate,3/8
2422,Danzig,Let It Be Captured,Eerie Von,['Acoustic Guitar (nylon)'],Beginner,1/8
2423,AFI,Ether,Hunter (3),['Distortion Guitar'],Beginner,2/8
2424,Böhse Onkelz,Berstimuliert,Stefan Verzerrt,['Distortion Guitar'],Intermediate,3/8
2425,The Subways,Shake Shake,,"['Distortion Guitar', 'Bass-Effekt']",Beginner,1/8
2426,Verdena,Balanite,Roberta,['Distortion Guitar'],Beginner,1/8
2427,Zakk Wylde,Bridge To Cross,Zakk,"['Bass', 'Acoustic Guitar (nylon)']",Beginner,1/8
2428,Black Rebel Motorcycle Club,Need Some Air,,"['Distortion Guitar', 'bass ']",Beginner,1/8
2429,Black Rebel Motorcycle Club,Shadows Keeper,,"['Electric Guitar (jazz)', 'bass ']",Intermediate,3/8
2430,Black Rebel Motorcycle Club,High Low,,"['Electric Guitar (jazz)', 'bass ']",Beginner,1/8
2431,Green Day,21st Century Breakdown (With Harmonies And Lyrics),,"['Overdriven Guitar', 'Bass (Mike Dirnt)']",Beginner,1/8
2432,Nightmare,Wasurena Kusa,Ni~Ya,['Distortion Guitar'],Beginner,2/8
2433,Guns N' Roses,The Garden,,"['Overdriven Guitar', 'Bass']",Beginner,2/8
2434,Motorhead,No Voices In The Sky,Track 4,['Distortion Guitar'],Beginner,2/8
2435,Michael Angelo Batio,For Whom The Bell Tolls,M.A.B,['Distortion Guitar'],Beginner,1/8
2436,Motorhead,All For You,Lemmy,['Distortion Guitar'],Beginner,2/8
2437,Revocation,Chaos Of Forms,,"['Electric Guitar (clean)', 'Electric Bass']",Intermediate,3/8
